,song,artist
144,Last Christmas,Wham!
145,Water Under The Bridge,Adele
146,You Was Right,Lil Uzi Vert
147,No Heart,21 Savage & Metro Boomin
148,Neighbors,J. Cole
149,Used To This,Future Featuring Drake
150,How Far I'll Go,Auli'i Cravalho
151,Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross"
152,Party,Chris Brown Featuring Usher & Gucci Mane
153,Immortal,J. Cole
154,May We All,Florida Georgia Line Featuring Tim McGraw
155,Say You Won't Let Go,James Arthur
156,Wanna Be That Song,Brett Eldredge
157,Too Much Sauce,DJ ESCO Featuring Future & Lil Uzi Vert
158,Better Man,Little Big Town
159,Chantaje,Shakira Featuring Maluma
160,Dirty Laundry,Carrie Underwood
161,1 Night,Lil Yachty
162,Redbone,Childish Gambino
163,Sneakin',Drake Featuring 21 Savage
164,Million Reasons,Lady Gaga
165,A Guy With A Girl,Blake Shelton
166,Just Hold On,Steve Aoki & Louis Tomlinson
167,Song For Another Time,Old Dominion
168,Pick Up The Phone,Young Thug And Travis Scott Featuring Quavo
169,Make Me (Cry),Noah Cyrus Featuring Labrinth
170,Star Of The Show,Thomas Rhett
171,HandClap,Fitz And The Tantrums
172,How I'll Always Be,Tim McGraw
173,Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie
174,Alone,Marshmello
175,How Far I'll Go,Alessia Cara
176,All We Know,The Chainsmokers Featuring Phoebe Ryan
177,Change,J. Cole
178,Dirt On My Boots,Jon Pardi
179,Selfish,PnB Rock
180,You're Welcome,Dwayne Johnson
181,Fresh Eyes,Andy Grammer
182,Sleep Without You,Brett Young
183,She's Mine Pt.1,J. Cole
184,Ville Mentality,J. Cole
185,OTW,DJ Luke Nasty
186,Red Opps,21 Savage
187,For Whom The Bell Tolls,J. Cole
188,Six Feet Under,The Weeknd
189,Reminder,The Weeknd
190,Play That Song,Train
191,Sidewalks,The Weeknd Featuring Kendrick Lamar
192,Foldin Clothes,J. Cole
193,Swang,Rae Sremmurd
194,Versace On The Floor,Bruno Mars
195,Uptown Funk!,Mark Ronson Featuring Bruno Mars
196,Thinking Out Loud,Ed Sheeran
197,Take Me To Church,Hozier
198,Blank Space,Taylor Swift
199,Shake It Off,Taylor Swift
200,Sugar,Maroon 5
201,Lips Are Movin,Meghan Trainor
202,I'm Not The Only One,Sam Smith
203,Jealous,Nick Jonas
204,Centuries,Fall Out Boy
205,All About That Bass,Meghan Trainor
206,Love Me Harder,Ariana Grande & The Weeknd
207,I Don't F**k With You,Big Sean Featuring E-40
208,I Don't Mind,Usher Featuring Juicy J
209,The Heart Wants What It Wants,Selena Gomez
210,The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence
211,Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown"
212,Animals,Maroon 5
213,7/11,Beyonce
214,Love Me Like You Do,Ellie Goulding
215,Time Of Our Lives,Pitbull & Ne-Yo
216,No Type,Rae Sremmurd
217,CoCo,O.T. Genasis
218,Ghost,Ella Henderson
219,Tuesday,I LOVE MAKONNEN Featuring Drake
220,Stay With Me,Sam Smith
221,Earned It (Fifty Shades Of Grey),The Weeknd
222,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj"
223,Waves,Mr. Probz
224,Habits (Stay High),Tove Lo
225,Riptide,Vance Joy
226,Elastic Heart,Sia
227,Chandelier,Sia
228,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas
229,Heroes (We Could Be),Alesso Featuring Tove Lo
230,Don't,Ed Sheeran
231,Style,Taylor Swift
232,She Knows,Ne-Yo Featuring Juicy J
233,I Lived,OneRepublic
234,Prayer In C,Lillywood & Robin Schulz
235,I See You,Luke Bryan
236,Something In The Water,Carrie Underwood
237,Talladega,Eric Church
238,Sun Daze,Florida Georgia Line
239,Rude,MAGIC!
240,Night Changes,One Direction
241,Don't Tell 'Em,Jeremih Featuring YG
242,Black Widow,Iggy Azalea Featuring Rita Ora
243,Sledgehammer,Fifth Harmony
244,Blame,Calvin Harris Featuring John Newman
245,Lonely Tonight,Blake Shelton Featuring Ashley Monroe
246,Stuck On A Feeling,Prince Royce Featuring Snoop Dogg
247,Take Your Time,Sam Hunt
248,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney
249,Make Me Wanna,Thomas Rhett
250,Outside,Calvin Harris Featuring Ellie Goulding
251,Try Me,DeJ Loaf
252,Feeling Myself,Nicki Minaj Featuring Beyonce
253,Often,The Weeknd
254,Drinking Class,Lee Brice
255,Just Gettin' Started,Jason Aldean
256,Shotgun Rider,Tim McGraw
257,I Bet My Life,Imagine Dragons
258,Shut Up And Dance,WALK THE MOON
259,Ayo,Chris Brown & Tyga
260,Mean To Me,Brett Eldredge
261,Heartbeat Song,Kelly Clarkson
262,Like A Cowboy,Randy Houser
263,Til It's Gone,Kenny Chesney
264,Apparently,J. Cole
265,Truffle Butter,Nicki Minaj Featuring Drake & Lil Wayne
266,Beg For It,Iggy Azalea Featuring M0
267,Throw Sum Mo,Rae Sremmurd Featuring Nicki Minaj & Young Thug
268,Lonely Eyes,Chris Young
269,God Made Girls,RaeLynn
270,All About It,Hoodie Allen Featuring Ed Sheeran
271,Ain't Worth The Whiskey,Cole Swindell
272,Perfect Storm,Brad Paisley
273,L.A.LOVE (la la),Fergie
274,Homegrown Honey,Darius Rucker
275,Homegrown,Zac Brown Band
276,Worth It,Fifth Harmony Featuring Kid Ink
277,Take It On Back,Chase Bryant
278,Steal My Girl,One Direction
279,Uma Thurman,Fall Out Boy
280,Trap Queen,Fetty Wap
281,Body Language,Kid Ink Featuring Usher & Tinashe
282,Geronimo,Sheppard
283,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko
284,Say You Do,Dierks Bentley
285,Not For Long,B.o.B Featuring Trey Songz
286,What We Ain't Got,Jake Owen
287,The Body,Wale Featuring Jeremih
288,Somebody,Natalie La Rose Featuring Jeremih
289,Can't Stop Dancin',Becky G
290,Immortals,Fall Out Boy
291,Dangerous,David Guetta Featuring Sam Martin
292,A Guy Walks Into A Bar,Tyler Farr
293,Slow Motion,Trey Songz
294,***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie
295,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
296,I Don't Care,Ed Sheeran & Justin Bieber
297,Bad Guy,Billie Eilish
298,Sucker,Jonas Brothers
299,Talk,Khalid
300,Wow.,Post Malone
301,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee
302,Dancing With A Stranger,Sam Smith & Normani
303,ME!,Taylor Swift Featuring Brendon Urie
304,Sweet But Psycho,Ava Max
305,Without Me,Halsey
306,7 Rings,Ariana Grande
307,Earfquake,"Tyler, The Creator"
308,Suge,DaBaby
309,Nightmare,Halsey
310,If I Can't Have You,Shawn Mendes
311,Middle Child,J. Cole
312,Happier,Marshmello & Bastille
313,Wish Wish,DJ Khaled Featuring Cardi B & 21 Savage
314,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande
315,Higher,DJ Khaled Featuring Nipsey Hussle & John Legend
316,High Hopes,Panic! At The Disco
317,Going Bad,Meek Mill Featuring Drake
318,God's Country,Blake Shelton
319,Eastside,"benny blanco, Halsey & Khalid"
320,Whiskey Glasses,Morgan Wallen
321,Con Calma,Daddy Yankee & Katy Perry Featuring Snow
322,Pure Water,Mustard & Migos
323,Look Back At It,A Boogie Wit da Hoodie
324,Better,Khalid
325,Pop Out,Polo G Featuring Lil Tjay
326,Sicko Mode,Travis Scott
327,Please Me,Cardi B & Bruno Mars
328,Act Up,City Girls
329,Girls Like You,Maroon 5 Featuring Cardi B
330,Shallow,Lady Gaga & Bradley Cooper
331,Good As You,Kane Brown
332,Truth Hurts,Lizzo
333,Envy Me,Calboy
334,When The Party's Over,Billie Eilish
335,Beer Never Broke My Heart,Luke Combs
336,Beautiful Crazy,Luke Combs
337,Just Us,DJ Khaled Featuring SZA
338,You Stay,"DJ Khaled Featuring Meek Mill, J Balvin, Lil Baby & Jeremih"
339,Rumor,Lee Brice
340,A Lot,21 Savage
341,"Hey Look Ma, I Made It",Panic! At The Disco
342,Here With Me,Marshmello Featuring CHVRCHES
343,Look What God Gave Her,Thomas Rhett
344,Thotiana,Blueface
345,I Think,"Tyler, The Creator"
346,Celebrate,DJ Khaled Featuring Travis Scott & Post Malone
347,Homicide,Logic Featuring Eminem
348,Eyes On You,Chase Rice
349,Bury A Friend,Billie Eilish
350,Clout,Offset Featuring Cardi B
351,Jealous,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean"
352,Walk Me Home,P!nk
353,Close Friends,Lil Baby
354,Miss Me More,Kelsea Ballerini
355,Murder On My Mind,YNW Melly
356,Worth It,YK Osiris
357,Sanguine Paradise,Lil Uzi Vert
358,Put A Date On It,Yo Gotti Featuring Lil Baby
359,Running Out Of Time,"Tyler, The Creator"
360,Love Ain't,Eli Young Band
361,Igor's Theme,"Tyler, The Creator"
362,Cool,Jonas Brothers
363,GIRL,Maren Morris
364,New Magic Wand,"Tyler, The Creator"
365,Boy With Luv,BTS Featuring Halsey
366,Big Ole Freak,Megan Thee Stallion
367,Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer
368,A Boy Is A Gun,"Tyler, The Creator"
369,Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy
370,Soltera,"Lunay, Daddy Yankee & Bad Bunny"
371,Before I Let Go,Beyonce
372,Earth,Lil Dicky
373,Don't Call Me Up,Mabel
374,Someone You Loved,Lewis Capaldi
375,Knockin' Boots,Luke Bryan
376,Girls Need Love,Summer Walker X Drake
377,Love Someone,Brett Eldredge
378,Robbery,Juice WRLD
379,What's Good,"Tyler, The Creator"
380,What If I Never Get Over You,Lady Antebellum
381,Shotta Flow,NLE Choppa
382,Puppet,"Tyler, The Creator"
383,Talk You Out Of It,Florida Georgia Line
384,Night Shift,Jon Pardi
385,Weather The Storm,DJ Khaled Featuring Meek Mill & Lil Baby
386,Go Loko,"YG, Tyga & Jon Z"
387,All To Myself,Dan + Shay
388,Triggered,Jhene Aiko
389,On My Way To You,Cody Johnson
390,Calma,Pedro Capo X Farruko
391,24/7,Meek Mill Featuring Ella Mai
392,Here Tonight,Brett Young
393,Baila Baila Baila,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA
394,Te Robare,Nicky Jam X Ozuna
395,One Dance,Drake Featuring WizKid & Kyla
396,Panda,Desiigner
397,This Is What You Came For,Calvin Harris Featuring Rihanna
398,Needed Me,Rihanna
399,Don't Mind,Kent Jones
400,Ride,twenty one pilots
401,Work From Home,Fifth Harmony Featuring Ty Dolla $ign
402,I Took A Pill In Ibiza,Mike Posner
403,Just Like Fire,P!nk
404,Send My Love (To Your New Lover),Adele
405,H.O.L.Y.,Florida Georgia Line
406,7 Years,Lukas Graham
407,Me Too,Meghan Trainor
408,Dangerous Woman,Ariana Grande
409,Controlla,Drake
410,Work,Rihanna Featuring Drake
411,Close,Nick Jonas Featuring Tove Lo
412,For Free,DJ Khaled Featuring Drake
413,Stressed Out,twenty one pilots
414,Let It Go,James Bay
415,Lost Boy,Ruth B
416,Sorry,Beyonce
417,Too Good,Drake Featuring Rihanna
418,Love Yourself,Justin Bieber
419,My House,Flo Rida
420,All The Way Up,"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared"
421,Low Life,Future Featuring The Weeknd
422,Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors"
423,Never Forget You,Zara Larsson & MNEK
424,Cake By The Ocean,DNCE
425,Never Be Like You,Flume Featuring Kai
426,Pillowtalk,Zayn
427,Sorry,Justin Bieber
428,Cut It,O.T. Genasis Featuring Young Dolph
429,All In My Head (Flex),Fifth Harmony Featuring Fetty Wap
430,"Me, Myself & I",G-Eazy x Bebe Rexha
431,Kill Em With Kindness,Selena Gomez
432,Wicked,Future
433,Oui,Jeremih
434,Church Bells,Carrie Underwood
435,Lights Come On,Jason Aldean
436,Into You,Ariana Grande
437,We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez
438,Really Really,Kevin Gates
439,Wasted Time,Keith Urban
440,"Huntin', Fishin' & Lovin' Every Day",Luke Bryan
441,Uber Everywhere,MadeinTYO
442,Wake Up,Fetty Wap
443,I Got The Keys,DJ Khaled Featuring Jay Z & Future
444,Record Year,Eric Church
445,Pop Style,Drake Featuring The Throne
446,Head Over Boots,Jon Pardi
447,T-Shirt,Thomas Rhett
448,No,Meghan Trainor
449,Gold,Kiiara
450,THat Part,ScHoolboy Q Featuring Kanye West
451,From The Ground Up,Dan + Shay
452,Wild Things,Alessia Cara
453,Peter Pan,Kelsea Ballerini
454,Wherever I Go,OneRepublic
455,"Sit Still, Look Pretty",Daya
456,Toothbrush,DNCE
457,Famous,Kanye West
458,Make You Miss Me,Sam Hunt
459,American Country Love Song,Jake Owen
460,Noise,Kenny Chesney
461,You Don't Own Me,Grace Featuring G-Eazy
462,Fix,Chris Lane
463,Hymn For The Weekend,Coldplay
464,My PYT,Wale
465,The Sound Of Silence,Disturbed
466,No Limit,Usher Featuring Young Thug
467,Came Here To Forget,Blake Shelton
468,Different For Girls,Dierks Bentley Featuring Elle King
469,Light It Up,Major Lazer Featuring Nyla & Fuse ODG
470,Hype,Drake
471,With You Tonight / Hasta El Amanecer,Nicky Jam
472,She's Got A Way With Words,Blake Shelton
473,Think Of You,Chris Young Duet With Cassadee Pope
474,Childs Play,Drake
475,Money Longer,Lil Uzi Vert
476,Body,Dreezy Featuring Jeremih
477,Grammys,Drake Featuring Future
478,Try Everything,Shakira
479,Still Here,Drake
480,Night's On Fire,David Nail
481,Father Stretch My Hands Pt. 1,Kanye West
482,Luv,Tory Lanez
483,No Problem,Chance The Rapper Featuring Lil Wayne & 2 Chainz
484,Champions,"Kanye West, Gucci Mane, Big Sean, 2 Chainz, Travi$ Scott, Yo Gotti, Quavo, Desiigner"
485,Why You Always Hatin?,YG Featuring Drake & Kamaiyah
486,Dark Necessities,Red Hot Chili Peppers
487,Hello,Adele
488,Hotline Bling,Drake
489,Same Old Love,Selena Gomez
490,Stitches,Shawn Mendes
491,What Do You Mean?,Justin Bieber
492,Here,Alessia Cara
493,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend
494,The Hills,The Weeknd
495,Jumpman,Drake & Future
496,Roses,The Chainsmokers Featuring Rozes
497,White Iverson,Post Malone
498,On My Mind,Ellie Goulding
499,In The Night,The Weeknd
500,Don't,Bryson Tiller
501,679,Fetty Wap Featuring Remy Boyz
502,Antidote,Travis Scott
503,Ex's & Oh's,Elle King
504,Wildest Dreams,Taylor Swift
505,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello
506,Die A Happy Man,Thomas Rhett
507,Can't Feel My Face,The Weeknd
508,Confident,Demi Lovato
509,Watch Me,Silento
510,Perfect,One Direction
511,Say It,Tory Lanez
512,Lean On,Major Lazer & DJ Snake Featuring MO
513,Hide Away,Daya
514,Break Up In A Small Town,Sam Hunt
515,See You Again,Wiz Khalifa Featuring Charlie Puth
516,One Call Away,Charlie Puth
517,Stand By You,Rachel Platten
518,Down In The DM,Yo Gotti Featuring Nicki Minaj
519,No Role Modelz,J. Cole
520,When We Were Young,Adele
521,Hands To Myself,Selena Gomez
522,Again,Fetty Wap
523,Exchange,Bryson Tiller
524,Locked Away,R. City Featuring Adam Levine
525,Out Of The Woods,Taylor Swift
526,Where Ya At,Future Featuring Drake
527,Irresistible,Fall Out Boy
528,Where Are U Now,Skrillex & Diplo With Justin Bieber
529,Focus,Ariana Grande
530,Home Alone Tonight,Luke Bryan Featuring Karen Fairchild
531,Adventure Of A Lifetime,Coldplay
532,Back To Sleep,Chris Brown
533,Gonna Know We Were Here,Jason Aldean
534,Stay A Little Longer,Brothers Osborne
535,Back Up,DeJ Loaf Featuring Big Sean
536,I Love This Life,LOCASH
537,I Got The Boy,Jana Kramer
538,Do It Like Me,DLOW
539,Best Friend,Young Thug
540,Used To Love You,Gwen Stefani
541,Good To Be Alive (Hallelujah),Andy Grammer
542,Big Rings,Drake & Future
543,New Americana,Halsey
544,WTF (Where They From),Missy Elliott Featuring Pharrell Williams
545,Get Ugly,Jason Derulo
546,I'll Show You,Justin Bieber
547,The Fix,Nelly Featuring Jeremih
548,Backroad Song,Granger Smith
549,Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz"
550,Beautiful Drug,Zac Brown Band
551,Gonna,Blake Shelton
552,Dessert,Dawin
553,Break On Me.,Keith Urban
554,Dibs,Kelsea Ballerini
555,Heartbeat,Carrie Underwood
556,$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan
557,Right Hand,Drake
558,Top Of The World,Tim McGraw
559,Sorry Not Sorry,Bryson Tiller
560,Lay It All On Me,Rudimental Featuring Ed Sheeran
561,Mr. Misunderstood,Eric Church
562,Come Get Her,Rae Sremmurd
563,Watch Out,2 Chainz
564,Sugar,Robin Schulz Featuring Francesco Yates
565,Hollow,Tori Kelly
566,Play No Games,Big Sean Featuring Chris Brown & Ty Dolla $ign
567,Confession,Florida Georgia Line
568,We Went,Randy Houser
569,2 Phones,Kevin Gates
570,RGF Island,Fetty Wap
571,Smoke Break,Carrie Underwood
572,Ginza,J Balvin
573,Nobody To Blame,Chris Stapleton
574,You Should Be Here,Cole Swindell
575,Blase,Ty Dolla $ign Featuring Future & Rae Sremmurd
576,Tennessee Whiskey,Chris Stapleton
577,Cheerleader,OMI
578,Bad Blood,Taylor Swift Featuring Kendrick Lamar
579,Fight Song,Rachel Platten
580,Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack"
581,"Honey, I'm Good.",Andy Grammer
582,Good For You,Selena Gomez Featuring A$AP Rocky
583,Want To Want Me,Jason Derulo
584,Photograph,Ed Sheeran
585,B**** Better Have My Money,Rihanna
586,Girl Crush,Little Big Town
587,Talking Body,Tove Lo
588,Classic Man,Jidenna Featuring Roman GianArthur
589,All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj
590,Flex (Ooh Ooh Ooh),Rich Homie Quan
591,You Know You Like It,DJ Snake & AlunaGeorge
592,Cool For The Summer,Demi Lovato
593,Nasty Freestyle,T-Wayne
594,Kick The Dust Up,Luke Bryan
595,House Party,Sam Hunt
596,Fun,Pitbull Featuring Chris Brown
597,This Summer's Gonna Hurt...,Maroon 5
598,Sangria,Blake Shelton
599,Be Real,Kid Ink Featuring DeJ Loaf
600,R.I.C.O.,Meek Mill Featuring Drake
601,Tonight Looks Good On You,Jason Aldean
602,Crash And Burn,Thomas Rhett
603,One Hell Of An Amen,Brantley Gilbert
604,Love You Like That,Canaan Smith
605,Like A Wrecking Ball,Eric Church
606,Buy Me A Boat,Chris Janson
607,The Night Is Still Young,Nicki Minaj
608,Marvin Gaye,Charlie Puth Featuring Meghan Trainor
609,Loving You Easy,Zac Brown Band
610,Renegades,X Ambassadors
611,Planez,Jeremih Featuring J. Cole
612,Kiss You In The Morning,Michael Ray
613,"I Don't Like It, I Love It",Flo Rida Featuring Robin Thicke & Verdine White
614,"John Cougar, John Deere, John 3:16",Keith Urban
615,This Could Be Us,Rae Sremmurd
616,Commas,Future
617,Young & Crazy,Frankie Ballard
618,Crushin' It,Brad Paisley
619,Bright,Echosmith
620,Hell Of A Night,Dustin Lynch
621,Lose My Mind,Brett Eldredge
622,Wet Dreamz,J. Cole
623,Baby Be My Love Song,Easton Corbin
624,Love Me Like You Mean It,Kelsea Ballerini
625,Ghost Town,Adam Lambert
626,The Matrimony,Wale Featuring Usher
627,El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias
628,How Many Times,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean"
629,Good Thing,Sage The Gemini Featuring Nick Jonas
630,Real Life,Jake Owen
631,Kings Never Die,Eminem Featuring Gwen Stefani
632,Do It Again,Pia Mia Featuring Chris Brown & Tyga
633,Don't It,Billy Currington
634,Beautiful Now,Zedd Featuring Jon Bellion
635,Yoga,Janelle Monae & Jidenna
636,Sippin' On Fire,Florida Georgia Line
637,Little Toy Guns,Carrie Underwood
638,My Way,Fetty Wap Featuring Monty
639,Alright,Kendrick Lamar
640,Break Up With Him,Old Dominion
641,Should've Been Us,Tori Kelly
642,Fly,Maddie & Tae
643,I Really Like You,Carly Rae Jepsen
644,Burning House,Cam
645,Tear In My Heart,twenty one pilots
646,Lord Knows,Meek Mill
647,I'm Comin' Over,Chris Young
648,Jump Out The Face,Meek Mill Featuring Future
649,Hood Go Crazy,Tech N9Ne Featuring 2 Chainz & B.o.B
650,One Man Can Change The World,Big Sean Featuring Kanye West & John Legend
651,Psycho,Post Malone Featuring Ty Dolla $ign
652,Nice For What,Drake
653,I Like It,"Cardi B, Bad Bunny & J Balvin"
654,God's Plan,Drake
655,Boo'd Up,Ella Mai
656,This Is America,Childish Gambino
657,Yikes,Kanye West
658,Lucid Dreams,Juice WRLD
659,The Middle,"Zedd, Maren Morris & Grey"
660,All Mine,Kanye West
661,No Tears Left To Cry,Ariana Grande
662,Friends,Marshmello & Anne-Marie
663,Yes Indeed,Lil Baby & Drake
664,Ghost Town,Kanye West Featuring PARTYNEXTDOOR
665,Walk It Talk It,Migos Featuring Drake
666,Never Be The Same,Camila Cabello
667,Look Alive,BlocBoy JB Featuring Drake
668,In My Blood,Shawn Mendes
